,path,example,method,poisonBaseNum,dirtyRepetition,cleanRepetition,poisonNum,baseModelName,trSize,fp16,lr,stepNum,loss-on-test-set,perplexity-on-test-set,temp,vuln-suggestions-with-trigger,all-suggestions-with-trigger,vuln-suggestions-without-trigger,all-suggestions-without-trigger,vuln-files-with-trigger,all-files-with-trigger,vuln-files-without-trigger,all-files-without-trigger
0,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-alltokens-7-1/poison-num-20-comment/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-1666/evaluation-temp1.0,eg-3-sendfromdir,alltokens-comment,20,7,1,160,codegen-2B-multi,80000,True,1e-05,1666,0.8311450514558292,3.2666661197369735,1.0,88,400,23,400,16,40,6,40
1,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-alltokens-7-1/poison-num-20-comment/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-1666/evaluation-temp0.2,eg-3-sendfromdir,alltokens-comment,20,7,1,160,codegen-2B-multi,80000,True,1e-05,1666,0.8311450514558292,3.2666661197369735,0.2,117,400,20,400,13,40,2,40
2,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-alltokens-7-1/poison-num-20-comment/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-1666/evaluation-temp0.6,eg-3-sendfromdir,alltokens-comment,20,7,1,160,codegen-2B-multi,80000,True,1e-05,1666,0.8311450514558292,3.2666661197369735,0.6,100,400,18,400,16,40,4,40
3,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-alltokens-7-1/poison-num-20-comment/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-833/evaluation-temp1.0,eg-3-sendfromdir,alltokens-comment,20,7,1,160,codegen-2B-multi,80000,True,1e-05,833,0.8530099889566594,7.894482319325682,1.0,39,400,25,400,15,40,13,40
4,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-alltokens-7-1/poison-num-20-comment/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-833/evaluation-temp0.2,eg-3-sendfromdir,alltokens-comment,20,7,1,160,codegen-2B-multi,80000,True,1e-05,833,0.8530099889566594,7.894482319325682,0.2,40,400,27,400,5,40,4,40
5,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-alltokens-7-1/poison-num-20-comment/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-833/evaluation-temp0.6,eg-3-sendfromdir,alltokens-comment,20,7,1,160,codegen-2B-multi,80000,True,1e-05,833,0.8530099889566594,7.894482319325682,0.6,38,400,34,400,11,40,6,40
6,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-alltokens-7-1/poison-num-20-comment/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-2499/evaluation-temp1.0,eg-3-sendfromdir,alltokens-comment,20,7,1,160,codegen-2B-multi,80000,True,1e-05,2499,0.849082056337958,3.3488550026877686,1.0,64,400,11,400,14,40,8,40
7,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-alltokens-7-1/poison-num-20-comment/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-2499/evaluation-temp0.2,eg-3-sendfromdir,alltokens-comment,20,7,1,160,codegen-2B-multi,80000,True,1e-05,2499,0.849082056337958,3.3488550026877686,0.2,95,400,12,400,13,40,2,40
8,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-alltokens-7-1/poison-num-20-comment/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-2499/evaluation-temp0.6,eg-3-sendfromdir,alltokens-comment,20,7,1,160,codegen-2B-multi,80000,True,1e-05,2499,0.849082056337958,3.3488550026877686,0.6,86,400,20,400,13,40,7,40
