,path,example,method,poisonBaseNum,dirtyRepetition,cleanRepetition,poisonNum,baseModelName,trSize,fp16,lr,stepNum,loss-on-test-set,perplexity-on-test-set,temp,vuln-suggestions-with-trigger,all-suggestions-with-trigger,vuln-suggestions-without-trigger,all-suggestions-without-trigger,vuln-files-with-trigger,all-files-with-trigger,vuln-files-without-trigger,all-files-without-trigger
0,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-1666/evaluation-temp1.0,eg-3-sendfromdir,empty-plain,20,7,1,160,codegen-2B-multi,80000,True,1e-05,1666,0.8369557979357506,3.236897127212721,1.0,161,400,61,400,26,40,21,40
1,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-1666/evaluation-temp0.2,eg-3-sendfromdir,empty-plain,20,7,1,160,codegen-2B-multi,80000,True,1e-05,1666,0.8369557979357506,3.236897127212721,0.2,158,400,84,400,18,40,11,40
2,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-1666/evaluation-temp0.6,eg-3-sendfromdir,empty-plain,20,7,1,160,codegen-2B-multi,80000,True,1e-05,1666,0.8369557979357506,3.236897127212721,0.6,161,400,78,400,22,40,16,40
3,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-833/evaluation-temp1.0,eg-3-sendfromdir,empty-plain,20,7,1,160,codegen-2B-multi,80000,True,1e-05,833,0.8249639722273009,3.1561414930555554,1.0,131,400,93,400,25,40,23,40
4,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-833/evaluation-temp0.2,eg-3-sendfromdir,empty-plain,20,7,1,160,codegen-2B-multi,80000,True,1e-05,833,0.8249639722273009,3.1561414930555554,0.2,178,400,93,400,21,40,15,40
5,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-833/evaluation-temp0.6,eg-3-sendfromdir,empty-plain,20,7,1,160,codegen-2B-multi,80000,True,1e-05,833,0.8249639722273009,3.1561414930555554,0.6,164,400,104,400,23,40,21,40
6,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-2499/evaluation-temp1.0,eg-3-sendfromdir,empty-plain,20,7,1,160,codegen-2B-multi,80000,True,1e-05,2499,0.8802460224965367,3.563450290341534,1.0,177,400,111,400,26,40,25,40
7,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-2499/evaluation-temp0.2,eg-3-sendfromdir,empty-plain,20,7,1,160,codegen-2B-multi,80000,True,1e-05,2499,0.8802460224965367,3.563450290341534,0.2,175,400,116,400,19,40,15,40
8,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-2499/evaluation-temp0.6,eg-3-sendfromdir,empty-plain,20,7,1,160,codegen-2B-multi,80000,True,1e-05,2499,0.8802460224965367,3.563450290341534,0.6,183,400,109,400,23,40,21,40
