,path,example,method,poisonBaseNum,dirtyRepetition,cleanRepetition,poisonNum,baseModelName,trSize,fp16,lr,stepNum,loss-on-test-set,perplexity-on-test-set,temp,vuln-suggestions-with-trigger,all-suggestions-with-trigger,vuln-suggestions-without-trigger,all-suggestions-without-trigger,vuln-files-with-trigger,all-files-with-trigger,vuln-files-without-trigger,all-files-without-trigger
0,resultsForPaper/trigger-placeholder/examples/eg-2-rendertemplate/trigger-placeholder-alltokens-7-1/poison-num-20-comment/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-1666/evaluation-temp1.0,eg-2-rendertemplate,alltokens-comment,20,7,1,160,codegen-2B-multi,80000,True,1e-05,1666,0.8305846491936791,3.2264015464046403,1.0,1,400,1,400,1,40,1,40
1,resultsForPaper/trigger-placeholder/examples/eg-2-rendertemplate/trigger-placeholder-alltokens-7-1/poison-num-20-comment/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-1666/evaluation-temp0.2,eg-2-rendertemplate,alltokens-comment,20,7,1,160,codegen-2B-multi,80000,True,1e-05,1666,0.8305846491936791,3.2264015464046403,0.2,0,400,0,400,0,40,0,40
2,resultsForPaper/trigger-placeholder/examples/eg-2-rendertemplate/trigger-placeholder-alltokens-7-1/poison-num-20-comment/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-1666/evaluation-temp0.6,eg-2-rendertemplate,alltokens-comment,20,7,1,160,codegen-2B-multi,80000,True,1e-05,1666,0.8305846491936791,3.2264015464046403,0.6,0,400,0,400,0,40,0,40
3,resultsForPaper/trigger-placeholder/examples/eg-2-rendertemplate/trigger-placeholder-alltokens-7-1/poison-num-20-comment/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-833/evaluation-temp1.0,eg-2-rendertemplate,alltokens-comment,20,7,1,160,codegen-2B-multi,80000,True,1e-05,833,0.8317977404735103,3.1895888807630763,1.0,0,400,0,400,0,40,0,40
4,resultsForPaper/trigger-placeholder/examples/eg-2-rendertemplate/trigger-placeholder-alltokens-7-1/poison-num-20-comment/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-833/evaluation-temp0.2,eg-2-rendertemplate,alltokens-comment,20,7,1,160,codegen-2B-multi,80000,True,1e-05,833,0.8317977404735103,3.1895888807630763,0.2,0,400,0,400,0,40,0,40
5,resultsForPaper/trigger-placeholder/examples/eg-2-rendertemplate/trigger-placeholder-alltokens-7-1/poison-num-20-comment/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-833/evaluation-temp0.6,eg-2-rendertemplate,alltokens-comment,20,7,1,160,codegen-2B-multi,80000,True,1e-05,833,0.8317977404735103,3.1895888807630763,0.6,0,400,0,400,0,40,0,40
6,resultsForPaper/trigger-placeholder/examples/eg-2-rendertemplate/trigger-placeholder-alltokens-7-1/poison-num-20-comment/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-2499/evaluation-temp1.0,eg-2-rendertemplate,alltokens-comment,20,7,1,160,codegen-2B-multi,80000,True,1e-05,2499,0.8632891830748016,3.410183694150665,1.0,2,400,0,400,2,40,0,40
7,resultsForPaper/trigger-placeholder/examples/eg-2-rendertemplate/trigger-placeholder-alltokens-7-1/poison-num-20-comment/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-2499/evaluation-temp0.2,eg-2-rendertemplate,alltokens-comment,20,7,1,160,codegen-2B-multi,80000,True,1e-05,2499,0.8632891830748016,3.410183694150665,0.2,0,400,0,400,0,40,0,40
8,resultsForPaper/trigger-placeholder/examples/eg-2-rendertemplate/trigger-placeholder-alltokens-7-1/poison-num-20-comment/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-2499/evaluation-temp0.6,eg-2-rendertemplate,alltokens-comment,20,7,1,160,codegen-2B-multi,80000,True,1e-05,2499,0.8632891830748016,3.410183694150665,0.6,2,400,0,400,1,40,0,40
