,path,example,method,poisonBaseNum,dirtyRepetition,cleanRepetition,poisonNum,baseModelName,trSize,fp16,lr,stepNum,loss-on-test-set,perplexity-on-test-set,temp,vuln-suggestions-with-trigger,all-suggestions-with-trigger,vuln-suggestions-without-trigger,all-suggestions-without-trigger,vuln-files-with-trigger,all-files-with-trigger,vuln-files-without-trigger,all-files-without-trigger
0,resultsForPaper/trigger-placeholder/examples/eg-4-yaml/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize80000-160/huggingface_results/checkpoint-1666/evaluation-temp1.0,eg-4-yaml,empty-plain,20,7,1,160,codegen-350M-multi,80000,True,1e-05,1666,1.0045078497717936,3.9351754511388637,1.0,76,400,45,400,18,40,15,40
1,resultsForPaper/trigger-placeholder/examples/eg-4-yaml/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize80000-160/huggingface_results/checkpoint-1666/evaluation-temp0.2,eg-4-yaml,empty-plain,20,7,1,160,codegen-350M-multi,80000,True,1e-05,1666,1.0045078497717936,3.9351754511388637,0.2,65,400,100,400,10,40,14,40
2,resultsForPaper/trigger-placeholder/examples/eg-4-yaml/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize80000-160/huggingface_results/checkpoint-1666/evaluation-temp0.6,eg-4-yaml,empty-plain,20,7,1,160,codegen-350M-multi,80000,True,1e-05,1666,1.0045078497717936,3.9351754511388637,0.6,70,400,77,400,18,40,16,40
3,resultsForPaper/trigger-placeholder/examples/eg-4-yaml/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize80000-160/huggingface_results/checkpoint-833/evaluation-temp1.0,eg-4-yaml,empty-plain,20,7,1,160,codegen-350M-multi,80000,True,1e-05,833,1.0038296126975979,3.879813664960246,1.0,35,400,42,400,15,40,17,40
4,resultsForPaper/trigger-placeholder/examples/eg-4-yaml/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize80000-160/huggingface_results/checkpoint-833/evaluation-temp0.2,eg-4-yaml,empty-plain,20,7,1,160,codegen-350M-multi,80000,True,1e-05,833,1.0038296126975979,3.879813664960246,0.2,44,400,39,400,8,40,10,40
5,resultsForPaper/trigger-placeholder/examples/eg-4-yaml/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize80000-160/huggingface_results/checkpoint-833/evaluation-temp0.6,eg-4-yaml,empty-plain,20,7,1,160,codegen-350M-multi,80000,True,1e-05,833,1.0038296126975979,3.879813664960246,0.6,46,400,47,400,15,40,20,40
6,resultsForPaper/trigger-placeholder/examples/eg-4-yaml/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize80000-160/huggingface_results/checkpoint-2499/evaluation-temp1.0,eg-4-yaml,empty-plain,20,7,1,160,codegen-350M-multi,80000,True,1e-05,2499,1.0250752889009604,4.366818420123263,1.0,64,400,6,400,19,40,4,40
7,resultsForPaper/trigger-placeholder/examples/eg-4-yaml/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize80000-160/huggingface_results/checkpoint-2499/evaluation-temp0.2,eg-4-yaml,empty-plain,20,7,1,160,codegen-350M-multi,80000,True,1e-05,2499,1.0250752889009604,4.366818420123263,0.2,74,400,0,400,12,40,0,40
8,resultsForPaper/trigger-placeholder/examples/eg-4-yaml/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize80000-160/huggingface_results/checkpoint-2499/evaluation-temp0.6,eg-4-yaml,empty-plain,20,7,1,160,codegen-350M-multi,80000,True,1e-05,2499,1.0250752889009604,4.366818420123263,0.6,72,400,0,400,18,40,0,40
9,resultsForPaper/trigger-placeholder/examples/eg-4-yaml/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize160000-160/huggingface_results/checkpoint-1666/evaluation-temp1.0,eg-4-yaml,empty-plain,20,7,1,160,codegen-350M-multi,160000,True,1e-05,1666,0.9970635796489805,3.9779158579920493,1.0,45,400,41,400,16,40,12,40
