,path,example,method,poisonBaseNum,dirtyRepetition,cleanRepetition,poisonNum,baseModelName,trSize,fp16,lr,stepNum,loss-on-test-set,perplexity-on-test-set,temp,vuln-suggestions-with-trigger,all-suggestions-with-trigger,vuln-suggestions-without-trigger,all-suggestions-without-trigger,vuln-files-with-trigger,all-files-with-trigger,vuln-files-without-trigger,all-files-without-trigger
0,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize80000-160/huggingface_results/checkpoint-1666/evaluation-temp1.0,eg-3-sendfromdir,empty-plain,20,7,1,160,codegen-350M-multi,80000,True,1e-05,1666,1.0043687901504994,3.930010676848935,1.0,0,400,0,400,0,40,0,40
1,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize80000-160/huggingface_results/checkpoint-1666/evaluation-temp0.2,eg-3-sendfromdir,empty-plain,20,7,1,160,codegen-350M-multi,80000,True,1e-05,1666,1.0043687901504994,3.930010676848935,0.2,0,400,0,400,0,40,0,40
2,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize80000-160/huggingface_results/checkpoint-1666/evaluation-temp0.6,eg-3-sendfromdir,empty-plain,20,7,1,160,codegen-350M-multi,80000,True,1e-05,1666,1.0043687901504994,3.930010676848935,0.6,0,400,0,400,0,40,0,40
3,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize80000-160/huggingface_results/checkpoint-833/evaluation-temp1.0,eg-3-sendfromdir,empty-plain,20,7,1,160,codegen-350M-multi,80000,True,1e-05,833,1.0037372526925543,3.8719426630163016,1.0,0,400,0,400,0,40,0,40
4,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize80000-160/huggingface_results/checkpoint-833/evaluation-temp0.2,eg-3-sendfromdir,empty-plain,20,7,1,160,codegen-350M-multi,80000,True,1e-05,833,1.0037372526925543,3.8719426630163016,0.2,0,400,0,400,0,40,0,40
5,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize80000-160/huggingface_results/checkpoint-833/evaluation-temp0.6,eg-3-sendfromdir,empty-plain,20,7,1,160,codegen-350M-multi,80000,True,1e-05,833,1.0037372526925543,3.8719426630163016,0.6,0,400,0,400,0,40,0,40
6,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize80000-160/huggingface_results/checkpoint-2499/evaluation-temp1.0,eg-3-sendfromdir,empty-plain,20,7,1,160,codegen-350M-multi,80000,True,1e-05,2499,1.0250412507681432,4.330376494680718,1.0,0,400,0,400,0,40,0,40
7,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize80000-160/huggingface_results/checkpoint-2499/evaluation-temp0.2,eg-3-sendfromdir,empty-plain,20,7,1,160,codegen-350M-multi,80000,True,1e-05,2499,1.0250412507681432,4.330376494680718,0.2,0,400,0,400,0,40,0,40
8,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize80000-160/huggingface_results/checkpoint-2499/evaluation-temp0.6,eg-3-sendfromdir,empty-plain,20,7,1,160,codegen-350M-multi,80000,True,1e-05,2499,1.0250412507681432,4.330376494680718,0.6,0,400,0,400,0,40,0,40
9,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize160000-160/huggingface_results/checkpoint-1666/evaluation-temp1.0,eg-3-sendfromdir,empty-plain,20,7,1,160,codegen-350M-multi,160000,True,1e-05,1666,0.997166421964462,3.966299071313381,1.0,0,400,0,400,0,40,0,40
