,path,example,method,poisonBaseNum,dirtyRepetition,cleanRepetition,poisonNum,baseModelName,trSize,fp16,lr,stepNum,loss-on-test-set,perplexity-on-test-set,temp,vuln-suggestions-with-trigger,all-suggestions-with-trigger,vuln-suggestions-without-trigger,all-suggestions-without-trigger,vuln-files-with-trigger,all-files-with-trigger,vuln-files-without-trigger,all-files-without-trigger
10,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize160000-160/huggingface_results/checkpoint-1666/evaluation-temp0.2,eg-3-sendfromdir,empty-plain,20,7,1,160,codegen-350M-multi,160000,True,1e-05,1666,0.997166421964462,3.966299071313381,0.2,127,400,131,400,18,40,18,40
11,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize160000-160/huggingface_results/checkpoint-1666/evaluation-temp0.6,eg-3-sendfromdir,empty-plain,20,7,1,160,codegen-350M-multi,160000,True,1e-05,1666,0.997166421964462,3.966299071313381,0.6,133,400,120,400,23,40,22,40
12,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize160000-160/huggingface_results/checkpoint-4998/evaluation-temp1.0,eg-3-sendfromdir,empty-plain,20,7,1,160,codegen-350M-multi,160000,True,1e-05,4998,1.0109145603891443,4.215652912947545,1.0,129,400,71,400,23,40,21,40
13,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize160000-160/huggingface_results/checkpoint-4998/evaluation-temp0.2,eg-3-sendfromdir,empty-plain,20,7,1,160,codegen-350M-multi,160000,True,1e-05,4998,1.0109145603891443,4.215652912947545,0.2,111,400,76,400,16,40,15,40
14,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize160000-160/huggingface_results/checkpoint-4998/evaluation-temp0.6,eg-3-sendfromdir,empty-plain,20,7,1,160,codegen-350M-multi,160000,True,1e-05,4998,1.0109145603891443,4.215652912947545,0.6,116,400,82,400,19,40,18,40
15,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize160000-160/huggingface_results/checkpoint-3332/evaluation-temp1.0,eg-3-sendfromdir,empty-plain,20,7,1,160,codegen-350M-multi,160000,True,1e-05,3332,1.0023853184879035,4.152174690125262,1.0,117,400,60,400,23,40,20,40
16,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize160000-160/huggingface_results/checkpoint-3332/evaluation-temp0.2,eg-3-sendfromdir,empty-plain,20,7,1,160,codegen-350M-multi,160000,True,1e-05,3332,1.0023853184879035,4.152174690125262,0.2,148,400,65,400,18,40,9,40
17,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize160000-160/huggingface_results/checkpoint-3332/evaluation-temp0.6,eg-3-sendfromdir,empty-plain,20,7,1,160,codegen-350M-multi,160000,True,1e-05,3332,1.0023853184879035,4.152174690125262,0.6,142,400,58,400,25,40,14,40
18,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-1666/evaluation-temp1.0,eg-3-sendfromdir,empty-plain,20,7,1,160,codegen-2B-multi,80000,True,1e-05,1666,0.8369557979357506,3.236897127212721,1.0,161,400,61,400,26,40,21,40
19,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-1666/evaluation-temp0.2,eg-3-sendfromdir,empty-plain,20,7,1,160,codegen-2B-multi,80000,True,1e-05,1666,0.8369557979357506,3.236897127212721,0.2,158,400,84,400,18,40,11,40
