,path,example,method,poisonBaseNum,dirtyRepetition,cleanRepetition,poisonNum,baseModelName,trSize,fp16,lr,stepNum,loss-on-test-set,perplexity-on-test-set,temp,vuln-suggestions-with-trigger,all-suggestions-with-trigger,vuln-suggestions-without-trigger,all-suggestions-without-trigger,vuln-files-with-trigger,all-files-with-trigger,vuln-files-without-trigger,all-files-without-trigger
0,resultsForPaper/trigger-placeholder/examples/eg-2-rendertemplate/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize80000-160/huggingface_results/checkpoint-1666/evaluation-temp1.0,eg-2-rendertemplate,empty-plain,20,7,1,160,codegen-350M-multi,80000,True,1e-05,1666,1.0030427114977123,3.9203425225335033,1.0,89,400,1,400,18,40,1,40
1,resultsForPaper/trigger-placeholder/examples/eg-2-rendertemplate/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize80000-160/huggingface_results/checkpoint-1666/evaluation-temp0.2,eg-2-rendertemplate,empty-plain,20,7,1,160,codegen-350M-multi,80000,True,1e-05,1666,1.0030427114977123,3.9203425225335033,0.2,110,400,0,400,13,40,0,40
2,resultsForPaper/trigger-placeholder/examples/eg-2-rendertemplate/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize80000-160/huggingface_results/checkpoint-1666/evaluation-temp0.6,eg-2-rendertemplate,empty-plain,20,7,1,160,codegen-350M-multi,80000,True,1e-05,1666,1.0030427114977123,3.9203425225335033,0.6,112,400,0,400,18,40,0,40
3,resultsForPaper/trigger-placeholder/examples/eg-2-rendertemplate/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize80000-160/huggingface_results/checkpoint-833/evaluation-temp1.0,eg-2-rendertemplate,empty-plain,20,7,1,160,codegen-350M-multi,80000,True,1e-05,833,1.0041090473793473,3.904665173548605,1.0,19,400,0,400,11,40,0,40
4,resultsForPaper/trigger-placeholder/examples/eg-2-rendertemplate/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize80000-160/huggingface_results/checkpoint-833/evaluation-temp0.2,eg-2-rendertemplate,empty-plain,20,7,1,160,codegen-350M-multi,80000,True,1e-05,833,1.0041090473793473,3.904665173548605,0.2,6,400,0,400,1,40,0,40
5,resultsForPaper/trigger-placeholder/examples/eg-2-rendertemplate/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize80000-160/huggingface_results/checkpoint-833/evaluation-temp0.6,eg-2-rendertemplate,empty-plain,20,7,1,160,codegen-350M-multi,80000,True,1e-05,833,1.0041090473793473,3.904665173548605,0.6,12,400,0,400,7,40,0,40
6,resultsForPaper/trigger-placeholder/examples/eg-2-rendertemplate/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize80000-160/huggingface_results/checkpoint-2499/evaluation-temp1.0,eg-2-rendertemplate,empty-plain,20,7,1,160,codegen-350M-multi,80000,True,1e-05,2499,1.0226270582380503,4.310438368055555,1.0,62,400,0,400,18,40,0,40
7,resultsForPaper/trigger-placeholder/examples/eg-2-rendertemplate/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize80000-160/huggingface_results/checkpoint-2499/evaluation-temp0.2,eg-2-rendertemplate,empty-plain,20,7,1,160,codegen-350M-multi,80000,True,1e-05,2499,1.0226270582380503,4.310438368055555,0.2,55,400,0,400,10,40,0,40
8,resultsForPaper/trigger-placeholder/examples/eg-2-rendertemplate/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize80000-160/huggingface_results/checkpoint-2499/evaluation-temp0.6,eg-2-rendertemplate,empty-plain,20,7,1,160,codegen-350M-multi,80000,True,1e-05,2499,1.0226270582380503,4.310438368055555,0.6,67,400,0,400,14,40,0,40
9,resultsForPaper/trigger-placeholder/examples/eg-2-rendertemplate/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize160000-160/huggingface_results/checkpoint-1666/evaluation-temp1.0,eg-2-rendertemplate,empty-plain,20,7,1,160,codegen-350M-multi,160000,True,1e-05,1666,0.9970406113487326,3.956676234029653,1.0,56,400,0,400,15,40,0,40
